Kalimat,Label,Prediksi_NB,Prediksi_SVM,Prediksi_lstm
sedih industri lokal jaya sikat pakde,negatif,positif,negatif,negatif
beli lokal harganyaa langit kualitas jelek cuttingannya pas,positif,positif,positif,positif
buka usaha baju bekas tolong edukasi,positif,positif,positif,positif
anda harga produk lokal kontrol perintah dasar type laku usaha sdm brand kenal kenal turun kelas kualitas stabil harga cari untung besar cepat kaya,positif,positif,positif,positif
apa nu rasa atuh wi,negatif,negatif,negatif,negatif
bahas tani lokal yu,positif,positif,negatif,positif
rb dapet,positif,positif,positif,negatif
fenomena thrif hy dampak dari gagal perintah masih masuk dalam negara umr rendah nanti sudah minim malaysia pilih barang branded berfikir paksa beli thrift bekas bau bekas orang sakit orang mati industri dalam negeri kualitas gulung tikar produk mutu awet sampah rusak lingkung fokus kualitas hy kuantitas bisa bekas kualitas produk dalam negeri banjir thrift depan,negatif,positif,positif,positif
butuh bermerk wkwk,negatif,negatif,negatif,negatif
thrif larang beli baju brand kualitas bagus tidak beli lokal,negatif,positif,negatif,negatif
warga mu bantu bisnis thrift,positif,negatif,negatif,negatif
tahun politik nihh pakai kaos partai gaes,negatif,negatif,negatif,negatif
tutup tuju,negatif,negatif,negatif,negatif
orang beli brand mahal solusi trifhting tujuanya muas emang,positif,positif,positif,positif
lagi di jalan beli baju petir,negatif,negatif,negatif,negatif
f pakai produksi negeri original bagus pakai impor bekas haha,negatif,positif,negatif,negatif
barang kau rugi,negatif,negatif,negatif,negatif
ayo dukung produk negeri,positif,positif,positif,positif
sudah pakai beruang petir,negatif,negatif,negatif,negatif
atur kuasa kitamah,positif,positif,positif,positif
xx xx xx xx zx xx xx xx xz,negatif,negatif,negatif,positif
kasih solusi,positif,positif,positif,positif
enak kaos partai kali,negatif,negatif,negatif,negatif
kesini tidak jelas kau,negatif,negatif,negatif,negatif
padahal ganggu jabat korup ehh,negatif,negatif,negatif,negatif
sesuai market gasii wkshshxgs terkadang olang olang berduwit fesyenebel duwitnya aman ikut thrift thrift begini padahal uang beli brand lokal sekali olang kaya beli yaa brand yen,negatif,negatif,negatif,negatif
sudah buru gabung mbanteng,negatif,positif,positif,positif
umr beli baju produk lokal,positif,positif,positif,positif
tahan lokal pride tengah gencar thrift,positif,positif,negatif,negatif
kasih izin sampai impor yakali izin masuk cmiww,negatif,negatif,negatif,negatif
sudahh tuhan kah ngana atur rezeki rakyat,positif,positif,positif,positif
lokal mahal sudah begitu model,positif,positif,positif,positif
ganggu makan uang rakjat,negatif,negatif,negatif,negatif
cinta produk lokal,positif,positif,positif,positif
rejeki temen,positif,positif,positif,positif
pajak,negatif,negatif,negatif,negatif
pakai sragam merah putih milik aditya bin laden cok,positif,negatif,negatif,negatif
cuma medan saja mbak paham,negatif,negatif,negatif,negatif
yuk mari mampir,positif,positif,positif,positif
inti thirft tidak masuk pajak negara rusak industri lokal pasar rusak industri lokal ya sudah negara tidak usah terima pakai second negeri,negatif,negatif,negatif,negatif
kasihan usaha sablon tidak order,negatif,negatif,negatif,negatif
upaya perintah kurang limbah pakai dikemanain yaa industri masyarakat daur ulangg,negatif,negatif,negatif,negatif
baju band suka kena tilang,positif,positif,positif,positif
trifthing haraganya sudah ngotak,positif,positif,positif,positif
thrift shop sisa atur pajak hasil,negatif,negatif,negatif,negatif
sakit kulit ih,negatif,negatif,negatif,negatif
maksud tekan textile waste mending jalan jakarta bolong benerin dulu tidak celaka langsung ganggu hidup sehat mental fisik masyarakat,negatif,negatif,negatif,negatif
market pasar masing khawatir sebenernya sama barang thrift,negatif,positif,positif,positif
pdip gambar banteng mantapp,negatif,negatif,negatif,negatif
lokal banget kaya,positif,positif,positif,positif
umkm sudah teriak dari mana,negatif,negatif,negatif,negatif
tidak turunin harga tingkatin kualitas saing thrifting tidak suka ya sudah,positif,positif,positif,positif
