,username,comment,Pre-processing,label_sentimen,score,sentimen_numerik
0,cokipardedebebas,Jadi solusi nya apa dong?,solusi,positif,0.6124,1
1,mood.jakarta,Wahai netizen budiman… Tahukah kamu jika ngelike komentar ini tidak perlu menekan tombol love cukup ditekan 2kali kalimat ini,netizen budiman tahu ngelike komentar tekan tombol love tekan kali kalimat,negatif,-0.0037000000000000366,0
2,ortherthing,udah paling bener sekarang pake kaos partai,sudah bener pakai kaos partai,negatif,-0.03480000000000005,0
4,rifai.1979,"Beras, bawang, dan sembako lainnya  di STOP import juga dong kasian petani dan UMKM lokal chuakss",beras bawang sembako stop import kasihan tani umkm lokal chuakss,positif,0.07840000000000003,1
5,lintang.chyaa,"Setuju sih, baju2 bekas dr luar gak tau jg aman atau engga dari virus. Kalo harga dan kualitas, produksi dalam negeri utk garment juga gak kalah bagusnya. Support UMKM.",tuju baju bekas dari juga aman tidak virus harga kualitas produksi negeri garment kalah bagus support umkm,negatif,-0.0011999999999999789,0
6,adamjunio_,Lokal brand banyak kok yg bagus2 tapi Mahal pak,lokal brand bagus mahal,negatif,-0.10599999999999998,0
8,iggoxo,"Padahal pkai brang bekas jadi ramah lingkungan, kalau mau ada ga  bisnis sejenis tapi brang bagus dan ramah lingkungan",pakai brang bekas ramah lingkung bisnis jenis brang bagus ramah lingkung,positif,0.021499999999999964,1
9,rickyalhoira,"Solusinya apa ya mr? Itu halal loh, banyak orang mengais rezeki dari situ. Apa mau jadi banyak pengangguran bertajuk dalam negeri?",solusi mr halal orang kais rezeki situ anggur tajuk negeri,positif,0.12179999999999991,1
10,calathea.wear,"Menurut aku ga ada menurunin umkm dalam negri sih buktinya live shopping di platfom kayak toktok itu banyak banget umkm lancar lancar aja , bahkan sekarang umkm lagi tinggi” nya profit berkat spall spill yg ada di konten tiktok, kalo matiin bisnis thrift kasiann owner yang baru ngerintis udah keluarin modal, okelah lah kalo misal umkm maju bukain lowongan pekerjaan , tapi yang mengangur akan tetap menjadi buruh , yang makin kaya yang owner umkm , yang buruhnya akan tetap menjadi buruh, jelas membuat branding atau bisnis lokal ga cuma butuh 1jt-2jt kalo ga punya privilege ga bakal naik belum lagi naikinnya butuh endorse dll , realita dilapangan udah saya coba juga bisnis lokal , budget nya ga ngotak banget kalo buat pemula yang dana dikit ga bakal bisa, brand lokal hanya untuk mereka yang punya privilege just my opini",menurunin umkm negeri bukti live shopping platfom seperti toktok banget umkm lancar lancar umkm profit berkat spall spill konten tiktok mati bisnis thrift kasiann owner rintis sudah keluar modal oke umkm maju bukain lowong kerja mengangur buruh kaya owner umkm buruh buruh branding bisnis lokal butuh jt jt privilege naikinnya butuh endorse dan lain realita lapang sudah coba bisnis lokal budget ngotak banget mula dana sedikit brand lokal privilege just my opini,positif,0.0006000000000000449,1
11,fajarsukarno_,"Kalau begitu,Bukannya Brand Fast Fashion dari Luar juga mengganggu industri UMKM ya ? KWWKWKKWW.toh banyak juga Fast Fashion Brand yang sering Sale dan harganya oke,Branded lagi. Hayoloh. Bisnis Thrift uda di babat abis,gimana kalau Next Bisnis Fast Fashion di kasi Aturan yang kurang lehih serupa juga ? 🤣 berani ga? *eh",brand fast fashion ganggu industri umkm kwwkwkkww fast fashion brand sale harga oke branded hayoloh bisnis thrift sudah babat habis bagaimana next bisnis fast fashion kasih atur lehih berani eh,positif,0.006199999999999983,1
12,bragasdwi,"tau brand maternal disaster? itu brand lokal yang udah punya fanbase sendiri , reseller nya jg banyak bgt,pas mereka ngeluarin artikel terbaru, dalam hitungan jam udah pada habis, bahkan gua bisa bilang brand lokal ini terlaris di indonesia karna desainnya beda dari yang lain , dan mereka bisa bersaing di era gempuran thrifting , jangan bilang gua anti lokal brand , gua punya banyak outfit brand lokal jg , lingkungan gue jg banyak yg pake brand lokal , intinya sih selama lu bisa bikin desain , bahan bagus dan tau kemauan market , pasti laku kok , kecuali lo desain nge jiplak , bahan asal2 an , kw in produk orang ( apalgi kw in brand lokal) malah jadi ilfeel yang mau beli brand lokal, jadi please lah jangan senggol2 an ,",brand maternal disaster brand lokal sudah fanbase reseller juga banget pas keluar artikel baru hitung jam sudah habis saya brand lokal laris indonesia karena desain beda saing era gempur thrifting saya anti lokal brand saya outfit brand lokal juga lingkung saya juga pakai brand lokal inti kamu desain bahan bagus mau market laku kecuali kamu desain nge jiplak bahan an kau in produk orang apalgi kau in brand lokal ilfeel beli brand lokal mohon senggol an,negatif,-0.0016000000000000458,0
13,dianarikasari,"Really? Bukannya fast fashion brands kayak Zara, H&M, Cotton On, Pull & Bear, Stradivarius yang jauh lebih bikin bisnis lokal terpuruk ya? As a (small) shoe entrepreneur, ya kali bisa compete sama sneakers di H&M yang cuma Rp 199.000, sedangkan biaya produksi di Indonesia aja gak bisa segitu. When we say textile industry, can we also consider the environmental impact of continuing to produce new fabrics all the time? Can we think on a bigger scale, how to move forward more sustainably? I don't have an exact solution (duh!), but I think it's worth rethinking the whole landscape instead langsung bikin keputusan seperti ini. Just a while ago, kemenparekraf bangga banget Billie Eilish pake karya anak Indo. Tapi itu kan karya upcycling, which utilizes secondhand garments. I dream of the Indonesian goverment lebih forward thinking about the fashion industry. Fokus more into combatting barang KW, edukasi soal plagiarisme, push designers to innovate dan bukan jadi trend follower, ngajak entrepreneurs utk mengedepankan environmental values. Indonesia banyak orang kreatif tapi gak banyak yang visioner. Focus on the essentials? ✨",really fast fashion brands seperti zara cotton on pull bear stradivarius bisnis lokal puruk as small shoe entrepreneur kali compete sneakers rupiah biaya produksi indonesia segitu kapan we say textile industry dapat we juga timbang the environmental impact of continuing untuk produce new fabrics all the waktu dapat we think on bigger scale how untuk move forward more sustainably don have an exact solution duh but think it worth rethinking the whole landscape instead langsung putus just ketika ago kemenparekraf bangga banget billie eilish pakai karya anak indonesia karya upcycling which utilizes secondhand garments dream of the indonesian goverment forward thinking about the fashion industry fokus more into combatting barang kau edukasi plagiarisme push designers untuk innovate trend follower ngajak entrepreneurs depan environmental values indonesia orang kreatif visioner fokus on the essentials,positif,0.009000000000000008,1
