kalimat,sentimen
harga gucci turunin pcs,1
informasi baju partai,1
ya sudah turunin harga yaa akun akun thrift saya enak borong,1
mahal,1
lagi,0
serah rakyat beli,0
golong beli barang thrift merk bagus bhannya bagus,0
beli kain lap rbu beli kaos terlalu besar bekas batam rbu,0
korupsi lebih rugi sir,0
korupsi,0
dapet duit jual untung besar,1
produk lokal harga ngotak,1
jual pakai bekas import pakai lokal lapang usaha orang lokal tuju mesejahterakan usaha lokal jalan damping melulu condong salah,0
weh saya suka nonton thrift cn gocap sikat,0
support lokal brand alahh kadang lokal harga asa seperti brand,1
impor bisnis sembako menggangu begitu,1
lihat orang abang adik borju clothing brand laku keras gara ngangkat cerita blablabla appearance contoh brand sudah sejahtera sejahtera,0
saya suka thrift,0
pakai bekas murah pakai negeri,1
solusi dagang thrift seperti,1
ayo cinta produk lokal contohna cinta,1
kapan mau ba bongkar cabo dang,1
stok hoodie datang ni kak silahkann,0
ush beli baju banyak ank dibyr baju pakai jadi sumpah,1
barang bekas sampah orang negeri beli sana kamu buang bakar kurang limbah tekstil,0
lokal mahal baju wkwkwkw,1
bang mohan senyum,1
bagaimana perspektif pakai barang thrift karena cinta produk lokal karena fakta barang thrift ekonomis kualitas lumayan ukur barang second mayoritas beli produk lokal harga kualitas ada buruk mayoritas suka produk thrift mampu ekonomi segitu produk lokal harga luar mampu finansial banyak konsumen domestik,1
ah kualitas barang lokal barang haraga buset sudah brand,1
ekspor jugahasil produksi dalam negeri,1
kasih solusi larang bantu susah,0
masuk islam,1
adu domba,0
sabar pakk rakyat memang angel atur,1
wkwkwk ditanabang bgd jual thrifting,1
tuju lokal pride umkm pride,0
trend baju thrifting ubah dijadiin industry tetapi jadiin bantu teman kena musibah daerah,0
bagus produksi barang kau henti banding barang thrift impor larang,0
calling untuk respondent hallo kenal hilaliyah mahasiswi ilmu keluarga konsumen fakultas ekologi manusia ipb university angkat teliti skripsi judul analisis niat beli pakai bekas dekat extended theory of planned behaviour kriteria responden teliti beli pakai bekas pakai thrift usia ambil putus utama proses beli pakai saudara orang penuh kriteria mohon sedia isi kuesioner taut https ipb taut kuesioner thrift https ipb taut kuesioner thrift https ipb taut kuesioner thrift data oleh perlu teliti jaga rahasia total hadiah responden untung terima kasih narahubung whatsapp https wa me bulanhilaliyah ipb ac id,1
yok tidak yok,0
silah kak,1
kaos opersesnya gaes gambar beruang petir silah operses operses tai pas saya pakai kaya croptop,0
maksud bang messi,1
barang bekas kasih lowong kerja jual kasih modal,1
tangkap,0
oke,1
dunia trhift,0
sudah bener pakai baju partai bentar big sale,1
bakar bajau kali,0
lokal bagus ngandelin bangga pakai produk lokal tapi kualitas baik skip,1
thrift sudah habbit,1
rezeky atur kali takut brand laku saya pribadi cinta baju bekas chuakss,0
ball an import emang masuk illegal masif orang tidak ada main hilang ball an orang mata cahari jual pakai bekas notabene kerja hidup situ cari duit saat usah mem pihak karyawan cari kerja sulit lapang kerja minim orang sangkut kompeten ntah perintah sudah sedia lapang kerja latih tiga segi hukum coba perhati sepatu tas jam lokal pakai brand imitasi sudah langgar hak cipta coba deh main pasar lihat orang orang hidup kepala jual pakai bekas seperti,0
kasihan usaha thrift saya pakai baju bekas import saya berfikir begini usaha thrifting sumber hasil nasib bagaimana nasib orang beli brand lokal budget paspasan bagaimana anggur tiada baju bekas importpun cinta brand lokal luar masih orang cinta brand lokal,0
lokal mahal bnget ppk,1
suka ngethrift barang nyamain,1
bagus nyaman murah gonta ganti pakai lestari budaya negeri beli dasar sudah mahal upah kang jait sudah mahal baju batik ngabisinin modal ribu baju tenun jebol kantong mak emak harga cabai minyak dan lain beli lipstik pakai up,1
habis bagaimana murah kualitas bagus,1
helo mending fokus audit menteri uang tingkat kualitas sdm sektor bumn sebenernya ngebantu alternatif fast fashion sustain kalo genjot produksi konsumsi pakai negeri ttp mecahin bahan sandang dar yaa isi,0
saya colok pakai linggis api bang cokk,0
notice sudah ramai kemarin,0
beliao riweuh yaak japuk gencet kali,0
dill wkwkwk,1
jokowi nyuruh pakai baju beruang petir nihh,0
dengar dengar,1
jakarta terimakasih dude,1
yaps tuju,0
turunin harga lokal deh tidak-apa-apa,1
dapet bocor partai kaos pakai bahan catton combat,0
impor beras ganggu,0
mobil motor,1
hutang negeri negara ganggu anak cucu de,0
beli lokal wkwk,0
sudah pasar ngab owi,1
kualitas produk negeri upgrade value bagus dari impor,1
bagus pakai bahan bekas bantu lingkung barang kurang reduce reuse recycle,0
ati ati bang hilang,0
rezeki sudah atur takut kalah saing xixixi pasar,0
tetapi kwalitasnya harga seperti tubuh enak nyaman,1
alas beli baju bekas branded,1
bom seru ngethrift bongkar harga miring aduuhh,0
bom seru ngethrift bongkar harga miring aduuhh,0
ayo cinta produk lokal contoh cinta,1
presiden gass periode sampai negarane ambyar tenan,1
gulung tikar,1
brand lokal era gempur thrifting,0
aju jamet kah,0
wkwkwk,1
produk lokal bagus barang brand bantu banget thrifting yaa bekas layak banget pakai,1
isshh pantesan anak muda negeri fokus ngembangin ide ranah brand lokal perhati khalayak publik bagaimana tidak presiden kaya begini bantu kembang jatuh sektor wuakakakkakakakakak,0
kocak,0
beli jaket produk indonesia harga bahan parasut tipis bulan saya beli thrifting harga bahan model bagus banget brand negeri bagaimana warga negara hitung kayak pikir,0
sudah bener pakai kaos partai,0
tolong aplikasi lokalisasi judi online berantas usaha brand lokal go international tolong pre,0
salah sekarang us ngetrend barang thrift berfikir barang bagus kenapa buang indonesia pasar barang bekas,0
sampai cgk negeri telanjang,0
beli brand lokal tetapi banyak beruang petirr hmm,0
tutup produksi barang kau,0
ujung ujung suruh pakai brand lokal banyak jiplak brand yaa malu saja ujung ujung brand lokal jiplak brand merk begimana ngeri bilang mati rezeki orang,0
lokal mahal kualitas sulit,1
hayo loo,1
begini stone island mahal murah,1
solusi bagaimana,1
hilang mata duit bagaimana,0
iya sudah anjirr,1
asik,1
pakai baju ngab,1
tuju,0
beli trhift an karena murah thrifting selamat bumi,1
nambahin anggur,0
ng import tenaga kerja asing mohon tindak,1
waduhh opini rencana bisnis thrift untung modal cocok umkm ganggu umkm bisnis thrift cocok cocok laku bisnis umkm komen masyarakat kecewa tagline support brand lokal harga kerja upah bawah umr umk seimbangin sandang pangan papan,1
cinta thrifting bayar biaya bea cukai pakai pamer kaya,0
