,username,comment,clean_data,case_folding,tokenize,stopwords,normalization,stemming
0,cokipardedebebas,Jadi solusi nya apa dong?,Jadi solusi nya apa dong,jadi solusi nya apa dong,"['jadi', 'solusi', 'nya', 'apa', 'dong']",solusi,solusi,solusi
1,mood.jakarta,Wahai netizen budiman… Tahukah kamu jika ngelike komentar ini tidak perlu menekan tombol love cukup ditekan 2kali kalimat ini,Wahai netizen budiman  Tahukah kamu jika ngelike komentar ini tidak perlu menekan tombol love cukup ditekan kali kalimat ini,wahai netizen budiman  tahukah kamu jika ngelike komentar ini tidak perlu menekan tombol love cukup ditekan kali kalimat ini,"['wahai', 'netizen', 'budiman', 'tahukah', 'kamu', 'jika', 'ngelike', 'komentar', 'ini', 'tidak', 'perlu', 'menekan', 'tombol', 'love', 'cukup', 'ditekan', 'kali', 'kalimat', 'ini']",netizen budiman tahukah ngelike komentar menekan tombol love ditekan kali kalimat,netizen budiman tahukah ngelike komentar menekan tombol love ditekan kali kalimat,netizen budiman tahu ngelike komentar tekan tombol love tekan kali kalimat
2,ortherthing,udah paling bener sekarang pake kaos partai,udah paling bener sekarang pake kaos partai,udah paling bener sekarang pake kaos partai,"['udah', 'paling', 'bener', 'sekarang', 'pake', 'kaos', 'partai']",udah bener pake kaos partai,sudah bener pakai kaos partai,sudah bener pakai kaos partai
3,ian.sicko,"baju bekas udah ada dari jaman baheula, sebelum distro distro ada mereka udah ada duluan, pas distro lagi hype hypenya bahkan kaos dijual 300ribu/pcs pun, baju bekas ga ngeganggu market mereka, cuman mungkin sehabis pandemi kali ya, lapangan kerja turun orang tetep pengen fashionable tapi minim budget akhirnya nyobain thrift dan akhirnya habit ampe sekarang, seharusnya sih bisa beriiringan ya, ya meski diundang undang emang salah sih karna Impor Barang Bekas emang illegal

tapi kalo diliat kesejahteraan, banyak orang yang sekedar cukup dari sini, disaat lapangan kerja lagi pada nendangin orang satu per satu, thrift jadi solusi paling gampang emang, klo thrift distop dan larinya ke UMKM, yang sejahtera yang udah punya brand gede, dia dia orang aja yang sejahtera, sedangkan gue yakin 70% dari kita pasti pernah nyoba bikin brand clothing sendiri, dan itu susahnya naujubillah, mostly cuma orang orang yang bisa dibilang punya previledge yang bisa maju, gue bilang mostly loh ya ga semuanya, tetep ada yang dari 0 juga, tapi ya gimana ya bingung juga si 🙈

kalo di stop larinya ke lokal okedeh, tapi kalo larinya ke brand brand mall yang bukan lokal, sama aja dong 😅

just opini yaa ✌🏻",baju bekas udah ada dari jaman baheula  sebelum distro distro ada mereka udah ada duluan  pas distro lagi hype hypenya bahkan kaos dijual ribu pcs pun  baju bekas ga ngeganggu market mereka  cuman mungkin sehabis pandemi kali ya  lapangan kerja turun orang tetep pengen fashionable tapi minim budget akhirnya nyobain thrift dan akhirnya habit ampe sekarang  seharusnya sih bisa beriiringan ya  ya meski diundang undang emang salah sih karna Impor Barang Bekas emang illegal tapi kalo diliat kesejahteraan  banyak orang yang sekedar cukup dari sini  disaat lapangan kerja lagi pada nendangin orang satu per satu  thrift jadi solusi paling gampang emang  klo thrift distop dan larinya ke UMKM  yang sejahtera yang udah punya brand gede  dia dia orang aja yang sejahtera  sedangkan gue yakin  dari kita pasti pernah nyoba bikin brand clothing sendiri  dan itu susahnya naujubillah  mostly cuma orang orang yang bisa dibilang punya previledge yang bisa maju  gue bilang mostly loh ya ga semuanya  tetep ada yang dari juga  tapi ya gimana ya bingung juga si  kalo di stop larinya ke lokal okedeh  tapi kalo larinya ke brand brand mall yang bukan lokal  sama aja dong  just opini yaa,baju bekas udah ada dari jaman baheula  sebelum distro distro ada mereka udah ada duluan  pas distro lagi hype hypenya bahkan kaos dijual ribu pcs pun  baju bekas ga ngeganggu market mereka  cuman mungkin sehabis pandemi kali ya  lapangan kerja turun orang tetep pengen fashionable tapi minim budget akhirnya nyobain thrift dan akhirnya habit ampe sekarang  seharusnya sih bisa beriiringan ya  ya meski diundang undang emang salah sih karna impor barang bekas emang illegal tapi kalo diliat kesejahteraan  banyak orang yang sekedar cukup dari sini  disaat lapangan kerja lagi pada nendangin orang satu per satu  thrift jadi solusi paling gampang emang  klo thrift distop dan larinya ke umkm  yang sejahtera yang udah punya brand gede  dia dia orang aja yang sejahtera  sedangkan gue yakin  dari kita pasti pernah nyoba bikin brand clothing sendiri  dan itu susahnya naujubillah  mostly cuma orang orang yang bisa dibilang punya previledge yang bisa maju  gue bilang mostly loh ya ga semuanya  tetep ada yang dari juga  tapi ya gimana ya bingung juga si  kalo di stop larinya ke lokal okedeh  tapi kalo larinya ke brand brand mall yang bukan lokal  sama aja dong  just opini yaa,"['baju', 'bekas', 'udah', 'ada', 'dari', 'jaman', 'baheula', 'sebelum', 'distro', 'distro', 'ada', 'mereka', 'udah', 'ada', 'duluan', 'pas', 'distro', 'lagi', 'hype', 'hypenya', 'bahkan', 'kaos', 'dijual', 'ribu', 'pcs', 'pun', 'baju', 'bekas', 'ga', 'ngeganggu', 'market', 'mereka', 'cuman', 'mungkin', 'sehabis', 'pandemi', 'kali', 'ya', 'lapangan', 'kerja', 'turun', 'orang', 'tetep', 'pengen', 'fashionable', 'tapi', 'minim', 'budget', 'akhirnya', 'nyobain', 'thrift', 'dan', 'akhirnya', 'habit', 'ampe', 'sekarang', 'seharusnya', 'sih', 'bisa', 'beriiringan', 'ya', 'ya', 'meski', 'diundang', 'undang', 'emang', 'salah', 'sih', 'karna', 'impor', 'barang', 'bekas', 'emang', 'illegal', 'tapi', 'kalo', 'diliat', 'kesejahteraan', 'banyak', 'orang', 'yang', 'sekedar', 'cukup', 'dari', 'sini', 'disaat', 'lapangan', 'kerja', 'lagi', 'pada', 'nendangin', 'orang', 'satu', 'per', 'satu', 'thrift', 'jadi', 'solusi', 'paling', 'gampang', 'emang', 'klo', 'thrift', 'distop', 'dan', 'larinya', 'ke', 'umkm', 'yang', 'sejahtera', 'yang', 'udah', 'punya', 'brand', 'gede', 'dia', 'dia', 'orang', 'aja', 'yang', 'sejahtera', 'sedangkan', 'gue', 'yakin', 'dari', 'kita', 'pasti', 'pernah', 'nyoba', 'bikin', 'brand', 'clothing', 'sendiri', 'dan', 'itu', 'susahnya', 'naujubillah', 'mostly', 'cuma', 'orang', 'orang', 'yang', 'bisa', 'dibilang', 'punya', 'previledge', 'yang', 'bisa', 'maju', 'gue', 'bilang', 'mostly', 'loh', 'ya', 'ga', 'semuanya', 'tetep', 'ada', 'yang', 'dari', 'juga', 'tapi', 'ya', 'gimana', 'ya', 'bingung', 'juga', 'si', 'kalo', 'di', 'stop', 'larinya', 'ke', 'lokal', 'okedeh', 'tapi', 'kalo', 'larinya', 'ke', 'brand', 'brand', 'mall', 'yang', 'bukan', 'lokal', 'sama', 'aja', 'dong', 'just', 'opini', 'yaa']",baju bekas udah jaman baheula distro distro udah duluan pas distro hype hypenya kaos dijual ribu pcs baju bekas ngeganggu market cuman sehabis pandemi kali lapangan kerja turun orang tetep pengen fashionable minim budget nyobain thrift habit ampe beriiringan diundang undang emang salah karna impor barang bekas emang illegal diliat kesejahteraan orang sekedar disaat lapangan kerja nendangin orang thrift solusi gampang emang thrift distop larinya umkm sejahtera udah brand gede orang sejahtera gue nyoba brand clothing susahnya naujubillah mostly orang orang dibilang previledge maju gue mostly tetep gimana bingung stop larinya lokal okedeh larinya brand brand mall lokal just opini yaa,baju bekas sudah jaman baheula distro distro sudah duluan pas distro hype hypenya kaos dijual ribu pcs baju bekas ngeganggu market cuma sehabis pandemi kali lapangan kerja turun orang tetap ingin fashionable minim budget nyobain thrift habit sampai beriiringan diundang undang emang salah karena impor barang bekas emang illegal dilihat kesejahteraan orang sekedar disaat lapangan kerja nendangin orang thrift solusi gampang emang thrift distop larinya umkm sejahtera sudah brand besar orang sejahtera saya nyoba brand clothing susahnya naujubillah mostly orang orang dibilang previledge maju saya mostly tetap bagaimana bingung stop larinya lokal okedeh larinya brand brand mall lokal just opini yaa,baju bekas sudah jaman baheula distro distro sudah duluan pas distro hype hypenya kaos jual ribu pcs baju bekas ngeganggu market cuma habis pandemi kali lapang kerja turun orang tetap ingin fashionable minim budget nyobain thrift habit sampai beriiringan undang undang emang salah karena impor barang bekas emang illegal lihat sejahtera orang dar saat lapang kerja nendangin orang thrift solusi gampang emang thrift stop lari umkm sejahtera sudah brand besar orang sejahtera saya nyoba brand clothing susah naujubillah mostly orang orang bilang previledge maju saya mostly tetap bagaimana bingung stop lari lokal okedeh lari brand brand mall lokal just opini yaa
4,rifai.1979,"Beras, bawang, dan sembako lainnya  di STOP import juga dong kasian petani dan UMKM lokal chuakss",Beras  bawang  dan sembako lainnya di STOP import juga dong kasian petani dan UMKM lokal chuakss,beras  bawang  dan sembako lainnya di stop import juga dong kasian petani dan umkm lokal chuakss,"['beras', 'bawang', 'dan', 'sembako', 'lainnya', 'di', 'stop', 'import', 'juga', 'dong', 'kasian', 'petani', 'dan', 'umkm', 'lokal', 'chuakss']",beras bawang sembako stop import kasian petani umkm lokal chuakss,beras bawang sembako stop import kasihan petani umkm lokal chuakss,beras bawang sembako stop import kasihan tani umkm lokal chuakss
5,lintang.chyaa,"Setuju sih, baju2 bekas dr luar gak tau jg aman atau engga dari virus. Kalo harga dan kualitas, produksi dalam negeri utk garment juga gak kalah bagusnya. Support UMKM.",Setuju sih  baju bekas dr luar gak tau jg aman atau engga dari virus  Kalo harga dan kualitas  produksi dalam negeri utk garment juga gak kalah bagusnya  Support UMKM,setuju sih  baju bekas dr luar gak tau jg aman atau engga dari virus  kalo harga dan kualitas  produksi dalam negeri utk garment juga gak kalah bagusnya  support umkm,"['setuju', 'sih', 'baju', 'bekas', 'dr', 'luar', 'gak', 'tau', 'jg', 'aman', 'atau', 'engga', 'dari', 'virus', 'kalo', 'harga', 'dan', 'kualitas', 'produksi', 'dalam', 'negeri', 'utk', 'garment', 'juga', 'gak', 'kalah', 'bagusnya', 'support', 'umkm']",setuju baju bekas dr jg aman engga virus harga kualitas produksi negeri garment kalah bagusnya support umkm,setuju baju bekas dari juga aman tidak virus harga kualitas produksi negeri garment kalah bagusnya support umkm,tuju baju bekas dari juga aman tidak virus harga kualitas produksi negeri garment kalah bagus support umkm
6,adamjunio_,Lokal brand banyak kok yg bagus2 tapi Mahal pak,Lokal brand banyak kok yg bagus tapi Mahal pak,lokal brand banyak kok yg bagus tapi mahal pak,"['lokal', 'brand', 'banyak', 'kok', 'yg', 'bagus', 'tapi', 'mahal', 'pak']",lokal brand bagus mahal,lokal brand bagus mahal,lokal brand bagus mahal
7,fadilahsukma_,Brand lokal ada jg yg bagus si tp harganyaaa... yaudadeh terserah *lanjut nonton live thrifting,Brand lokal ada jg yg bagus si tp harganyaa  yaudadeh terserah  lanjut nonton live thrifting,brand lokal ada jg yg bagus si tp harganyaa  yaudadeh terserah  lanjut nonton live thrifting,"['brand', 'lokal', 'ada', 'jg', 'yg', 'bagus', 'si', 'tp', 'harganyaa', 'yaudadeh', 'terserah', 'lanjut', 'nonton', 'live', 'thrifting']",brand lokal jg bagus tp harganyaa yaudadeh terserah nonton live thrifting,brand lokal juga bagus tetapi harganyaa yaudadeh terserah nonton live thrifting,brand lokal juga bagus tetapi harganyaa yaudadeh serah nonton live thrifting
8,iggoxo,"Padahal pkai brang bekas jadi ramah lingkungan, kalau mau ada ga  bisnis sejenis tapi brang bagus dan ramah lingkungan",Padahal pkai brang bekas jadi ramah lingkungan  kalau mau ada ga bisnis sejenis tapi brang bagus dan ramah lingkungan,padahal pkai brang bekas jadi ramah lingkungan  kalau mau ada ga bisnis sejenis tapi brang bagus dan ramah lingkungan,"['padahal', 'pkai', 'brang', 'bekas', 'jadi', 'ramah', 'lingkungan', 'kalau', 'mau', 'ada', 'ga', 'bisnis', 'sejenis', 'tapi', 'brang', 'bagus', 'dan', 'ramah', 'lingkungan']",pkai brang bekas ramah lingkungan bisnis sejenis brang bagus ramah lingkungan,pakai brang bekas ramah lingkungan bisnis sejenis brang bagus ramah lingkungan,pakai brang bekas ramah lingkung bisnis jenis brang bagus ramah lingkung
9,rickyalhoira,"Solusinya apa ya mr? Itu halal loh, banyak orang mengais rezeki dari situ. Apa mau jadi banyak pengangguran bertajuk dalam negeri?",Solusinya apa ya mr  Itu halal loh  banyak orang mengais rezeki dari situ  Apa mau jadi banyak pengangguran bertajuk dalam negeri,solusinya apa ya mr  itu halal loh  banyak orang mengais rezeki dari situ  apa mau jadi banyak pengangguran bertajuk dalam negeri,"['solusinya', 'apa', 'ya', 'mr', 'itu', 'halal', 'loh', 'banyak', 'orang', 'mengais', 'rezeki', 'dari', 'situ', 'apa', 'mau', 'jadi', 'banyak', 'pengangguran', 'bertajuk', 'dalam', 'negeri']",solusinya mr halal orang mengais rezeki situ pengangguran bertajuk negeri,solusinya mr halal orang mengais rezeki situ pengangguran bertajuk negeri,solusi mr halal orang kais rezeki situ anggur tajuk negeri
