,username,comment
0,cokipardedebebas,Jadi solusi nya apa dong?
1,mood.jakarta,Wahai netizen budiman… Tahukah kamu jika ngelike komentar ini tidak perlu menekan tombol love cukup ditekan 2kali kalimat ini
2,ortherthing,udah paling bener sekarang pake kaos partai
3,ian.sicko,"baju bekas udah ada dari jaman baheula, sebelum distro distro ada mereka udah ada duluan, pas distro lagi hype hypenya bahkan kaos dijual 300ribu/pcs pun, baju bekas ga ngeganggu market mereka, cuman mungkin sehabis pandemi kali ya, lapangan kerja turun orang tetep pengen fashionable tapi minim budget akhirnya nyobain thrift dan akhirnya habit ampe sekarang, seharusnya sih bisa beriiringan ya, ya meski diundang undang emang salah sih karna Impor Barang Bekas emang illegal

tapi kalo diliat kesejahteraan, banyak orang yang sekedar cukup dari sini, disaat lapangan kerja lagi pada nendangin orang satu per satu, thrift jadi solusi paling gampang emang, klo thrift distop dan larinya ke UMKM, yang sejahtera yang udah punya brand gede, dia dia orang aja yang sejahtera, sedangkan gue yakin 70% dari kita pasti pernah nyoba bikin brand clothing sendiri, dan itu susahnya naujubillah, mostly cuma orang orang yang bisa dibilang punya previledge yang bisa maju, gue bilang mostly loh ya ga semuanya, tetep ada yang dari 0 juga, tapi ya gimana ya bingung juga si 🙈

kalo di stop larinya ke lokal okedeh, tapi kalo larinya ke brand brand mall yang bukan lokal, sama aja dong 😅

just opini yaa ✌🏻"
4,rifai.1979,"Beras, bawang, dan sembako lainnya  di STOP import juga dong kasian petani dan UMKM lokal chuakss"
5,lintang.chyaa,"Setuju sih, baju2 bekas dr luar gak tau jg aman atau engga dari virus. Kalo harga dan kualitas, produksi dalam negeri utk garment juga gak kalah bagusnya. Support UMKM."
6,adamjunio_,Lokal brand banyak kok yg bagus2 tapi Mahal pak
7,fadilahsukma_,Brand lokal ada jg yg bagus si tp harganyaaa... yaudadeh terserah *lanjut nonton live thrifting
8,iggoxo,"Padahal pkai brang bekas jadi ramah lingkungan, kalau mau ada ga  bisnis sejenis tapi brang bagus dan ramah lingkungan"
9,rickyalhoira,"Solusinya apa ya mr? Itu halal loh, banyak orang mengais rezeki dari situ. Apa mau jadi banyak pengangguran bertajuk dalam negeri?"
10,calathea.wear,"Menurut aku ga ada menurunin umkm dalam negri sih buktinya live shopping di platfom kayak toktok itu banyak banget umkm lancar lancar aja , bahkan sekarang umkm lagi tinggi” nya profit berkat spall spill yg ada di konten tiktok, kalo matiin bisnis thrift kasiann owner yang baru ngerintis udah keluarin modal, okelah lah kalo misal umkm maju bukain lowongan pekerjaan , tapi yang mengangur akan tetap menjadi buruh , yang makin kaya yang owner umkm , yang buruhnya akan tetap menjadi buruh, jelas membuat branding atau bisnis lokal ga cuma butuh 1jt-2jt kalo ga punya privilege ga bakal naik belum lagi naikinnya butuh endorse dll , realita dilapangan udah saya coba juga bisnis lokal , budget nya ga ngotak banget kalo buat pemula yang dana dikit ga bakal bisa, brand lokal hanya untuk mereka yang punya privilege just my opini"
11,fajarsukarno_,"Kalau begitu,Bukannya Brand Fast Fashion dari Luar juga mengganggu industri UMKM ya ? KWWKWKKWW.toh banyak juga Fast Fashion Brand yang sering Sale dan harganya oke,Branded lagi. Hayoloh. Bisnis Thrift uda di babat abis,gimana kalau Next Bisnis Fast Fashion di kasi Aturan yang kurang lehih serupa juga ? 🤣 berani ga? *eh"
